Ticker,Date/Time,open,high,low,close,volume
AAXJ,27/12/2022,65.37999725341797,66.05000305175781,65.12999725341797,65.76000213623047,350100
AAXJ,28/12/2022,65.4000015258789,65.47000122070312,64.41999816894531,64.41999816894531,1083700
AAXJ,29/12/2022,65.01000213623047,65.77999877929688,65.01000213623047,65.72000122070312,434700
AAXJ,30/12/2022,65.29000091552734,65.4800033569336,64.62000274658203,64.79000091552734,572600
SPY,27/12/2022,382.7900085449219,383.1499938964844,379.6499938964844,381.3999938964844,51638200
SPY,28/12/2022,381.3299865722656,383.3900146484375,376.4200134277344,376.6600036621094,70911500
SPY,29/12/2022,379.6300048828125,384.3500061035156,379.0799865722656,383.44000244140625,66970900
SPY,30/12/2022,380.6400146484375,382.5799865722656,378.42999267578125,382.42999267578125,83975100
ACWI,27/12/2022,85.1500015258789,85.3499984741211,84.69000244140625,85.02999877929688,4102300
ACWI,28/12/2022,85.05000305175781,85.38999938964844,83.93000030517578,83.93000030517578,3474700
ACWI,29/12/2022,84.76000213623047,85.58000183105469,84.61000061035156,85.38999938964844,5039100
ACWI,30/12/2022,84.81999969482422,85.05999755859375,84.33000183105469,84.87999725341797,4201900
